,_id,source,content,publisher,published_at,picture,title
18,5eeabb1c13d31358e171d815,Instagram,"بدأ الرئيس الفرنسي ⁧‫#جاك_شيراك‬⁩ ( 1932- 2019 ) طفولته في ⁧‫#قرية‬⁩ ""⁧‫#سانت_فيريول‬⁩"" بإقليم ⁧‫#الكوريز‬⁩ بـ ⁧‫#فرنسا‬⁩ ‎French President ⁦‪#Jacques_Chirac‬⁩ (1932 - 2019)began his childhood in village ""⁦‪#Saint_Ferriol‬⁩ In the territory of ⁦‪#Corrèze‬⁩ in ⁦‪#France‬⁩ ‎⁧‫#قريتنا‬⁩ ⁦‪#our_hamlet‬⁩ ‎⁧‫#قريتي‬⁩ ⁦‪#my_village‬⁩",ourhamlet019,2019-09-30 13:11:18,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/69904989_1455367117921280_8735313300029293590_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=zdCBTaVhcoQAX9ovIE-&oh=e0a659555ec740888aa0b2be7be5088a&oe=5F145396,
19,5eeabb1c13d31358e171d816,Instagram,"Voici une citation du Président #Jacques_Chirac

On greffe de tout aujourd'hui, des reins, des bras, un coeur.
Sauf les couilles.
Par manque de donneur.",philippe_pierre_r.n95,2019-09-30 11:56:50,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/71056064_503839250173170_352292769065045534_n.jpg?_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=CfEPlsxVRH0AX8oEZA4&oh=f4f7075bbc4fd2ad92fa5eb4fed8866f&oe=5F162613,
20,5eeabb1c13d31358e171d817,Instagram,Très belle cérémonie émouvante . Adieu Mr le président . 🥺🥺 . #deuilnational #HommageChirac #Chirac #Jacques_Chirac #JaimeMaFrance https://t.co/ODX5Z4jQr7,mimi3120000,2019-09-30 11:00:18,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/71308157_697972210704124_2760783888086061557_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=104&_nc_ohc=_ebS60saFoIAX8BZ-dI&oh=150eafdabf7bb6ca3145aeddf8ef80a5&oe=5F12B278,
21,5eeabb1c13d31358e171d818,Instagram,"Funérailles, Les Invalides et la bière.

Septembre 2019
 Tunis
Noureddine Ahmed

#photographie #photography #photojournalisme #photojournalism #lensculture #switzerland #photo #photographer #Chirac #visualart #press #photographe #storytelling #reportage #reporter #France #ben_ali #photodocumentaire #worldphotoagency #Jacques_chirac #beer #filmphotography #fujifilmme #Fujifilm #Fujilove #tunisia #photoobserve #fujixt2 #journalism",nooreddineahmed,2019-09-30 09:38:19,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/70501546_941248742895469_1870308664016782690_n.jpg?_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=Uvk1AeTCFpEAX8Jg5BL&oh=9d33d23bb71e4f5fb22554ea83b5000e&oe=5F162E34,
22,5eeabb1c13d31358e171d819,Instagram,#SaintSulpice l’#Hommage à #Jacques_Chirac se prépare @telematin_officiel  #franceinfo Tv @jo_ghiglia @samuel___etienne @mpgressant @karinebasteregis @julienbenedetto @mgouesse @eve.demumieux,juliepoirier_tv,2019-09-30 05:53:49,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/70402545_439536283576798_4957967811330954030_n.jpg?_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=1VpvDi6o2loAX9twkt1&oh=54c775704874fd0f6750c70103dbba95&oe=5F13FA23,
23,5eeabb1c13d31358e171d81a,Instagram,#jacqueschirac #chirac #hommagepopulairechirac #hommagepopulaire #jacques_chirac #deuilnational #invalides #invalidesparis #invalides🇫🇷#paris #president,freeman1788,2019-09-29 22:15:57,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/70948514_562388787837632_8075843116921201629_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=lmJPogTf51YAX8LqbS1&oh=ff1913b6f29626618250714f03556d77&oe=5F1377A3,
24,5eeabb1c13d31358e171d81b,Instagram,"Environ 80 dirigeants étrangers présents lundi, dont Bill #Clinton
#AlAinFrNews
#Jacques_Chirac",alainfrnews,2019-09-29 21:36:50,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/71185818_792537304516376_1025249592171753076_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=hXIXU6ROkLEAX9syulh&oh=c7d635608664aa70f27caea983bcfb34&oe=5F14FE4C,
25,5eeabb1c13d31358e171d81c,Instagram,"Comme annoncé sur RFI, le président de la République, Son Excellence, Monsieur Denis Sassou-N'Guesso s'est envolé ce dimanche de l'aéroport Maya-Maya pour Paris, où il prendra personnellement part aux obsèques de l'ex président français #Jacques_Chirac ce lundi à l'église Saint-Sulpice (Paris).",congonewsn,2019-09-29 11:54:24,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/69767391_770648506687167_7703599448811360212_n.jpg?_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=-5bPCCvbjK0AX_DBKPJ&oh=6e994eba4504e299c3d605377c9dd8ee&oe=5F155CF6,
26,5eeabb1c13d31358e171d81d,Instagram,"Obsèques de #Jacques_Chirac : Une trentaine de chefs d'État et de gouvernement, dont le président congolais Denis Sassou-N'Guesso et le russe Vladimir Poutine, est attendue ce lundi 30  septembre 2019, pour la cérémonie d'hommage à l'ancien président français, indique l'Élysée.",congonewsn,2019-09-28 19:25:07,https://scontent-cdt1-1.cdninstagram.com/v/t51.2885-15/e35/71098632_678642775879113_3536220133889528581_n.jpg?_nc_ht=scontent-cdt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=ofnl5WrHCW8AX8Uo0Yr&oh=1a2bde79abc16433899fcbcd5d593f37&oe=5F162FA1,
27,5eeabb1c13d31358e171d81e,Instagram,Mairie de Paris #jacques_chirac #mairie_de_paris,mika_sarry,2019-09-28 16:34:42,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/69766947_2365852616795563_4331724259450598069_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=107&_nc_ohc=I1okHo2hffwAX-TDXoC&oh=bfd3b85b2e11daf377bc7dff0fba06b9&oe=5F1426DE,
28,5eeabb1c13d31358e171d81f,Instagram,"""C’est en bonne partie parce qu’il était devenu un symbole du monde d’hier que Chirac était tant apprécié depuis son retrait de la vie politique. Chose certaine, c’est une page d’histoire qui se tourne. La moindre des choses, de notre côté de l’Atlantique, consiste à rappeler l’importance de sa relation avec le Québec."" - Mathieu Bock-Côté
#Hommage #Jacques_Chirac #mangezdespommes
https://www.journaldemontreal.com/2019/09/27/jacques-chirac-et-le-quebec",christianhebertqc,2019-09-28 13:57:58,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/70914177_386899145572044_5117960920429094922_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=100&_nc_ohc=CJyUYjdmQ0kAX9N1X8F&oh=dffaa8b1b829fb1c1ef30805a47d879b&oe=5F14C75B,
29,5eeabb1c13d31358e171d820,Instagram,"Les vaches du salon de l'agriculture sont bien tristes...
🐄🐃🐂
#jacqueschirac #jacques_chirac #chirac",pdemeure.neverland,2019-09-28 11:29:34,https://scontent-cdg2-1.cdninstagram.com/v/t51.2885-15/e35/69557048_390862498266404_5693714264273568912_n.jpg?_nc_ht=scontent-cdg2-1.cdninstagram.com&_nc_cat=108&_nc_ohc=fSyrD6SHEuoAX-rBWNJ&oh=1261790987eb45ea1b8db9bebd123749&oe=5F13B8C0,
